Community Water System,County,EOHHS Region,EP Region,Community,Water Source,# of Residential Connections,Winter / Year Round Population Served
Littleton Lyne Apartments,Middlesex,Central,Central MA Public Health Coalition,Ayer,Ground Water,70,150
Groton Water Department,Middlesex,Central,Central MA Public Health Coalition,Groton,Ground Water,2211,5229
Still Meadow,Middlesex,Central,Central MA Public Health Coalition,Groton,Ground Water,10,50
West Groton Water Supply District,Middlesex,Central,Central MA Public Health Coalition,Groton,Ground Water,647,1805
Pepperell DPW Water Division,Middlesex,Central,Central MA Public Health Coalition,Pepperell,Ground Water,3286,8543
Still Meadow (Voided Record),Middlesex,Central,Central MA Public Health Coalition,Pepperell,Ground Water,10,30
MCI Shirley,Middlesex,Central,Central MA Public Health Coalition,Shirley,Purchased Ground Water,3,3500
Mohawk Village Apartments,Middlesex,Central,Central MA Public Health Coalition,Shirley,Ground Water,28,50
Shirley Water District,Middlesex,Central,Central MA Public Health Coalition,Shirley,Ground Water,1499,4068
Woodland Ridge,Middlesex,Central,Central MA Public Health Coalition,Shirley,Ground Water,28,125
Townsend Water Department,Middlesex,Central,Central MA Public Health Coalition,Townsend,Ground Water,2000,6500
Witches Brook Water Company,Middlesex,Central,Central MA Public Health Coalition,Townsend,Ground Water,496,1656
Wilmington Water Dept.,Middlesex,Metro West,Greater Lawrence Public Health and Bioterrorism Coalition,Wilmington,Ground Water,7646,22655
Acton Water Supply District,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,6753,20890
Brook Run Condominiums,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,2,46
Great Road Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,200,400
Meadowbrook Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,52,104
Pine Hill Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,2,95
Richmond House Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,1,48
Somerset Hills Condominiums,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,2,70
Strawberry Hill Apartments,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,3,80
Woodvale Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Acton,Ground Water,6,170
Arlington Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Arlington,Purchased Surface Water,12682,42844
Ashland Water And Sewer Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Ashland,Ground Water,6933,16593
Bedford Va Hospital (Rogers Mem. Hosp.),Middlesex,Metro West,Region 4AB PHEP Coalition,Bedford,Ground Water,1,177
Bedford Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Bedford,Ground Water,4804,14126
Hanscom AFB,Middlesex,Metro West,Region 4AB PHEP Coalition,Bedford,Purchased Ground Water,619,11789
Belmont Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Belmont,Purchased Surface Water,7762,24254
Applewood Community Corporation,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,125,500
Brook Village Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,192,400
Carriage House Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,1,68
Centre Village Apartments,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,3,36
Codman Hill Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,5,360
Enclave At Boxborough,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,50,100
Harvard Ridge Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,8,350
Liberty House Condominium,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,30,80
Paddock Estates,Middlesex,Metro West,Region 4AB PHEP Coalition,Boxborough,Ground Water,16,463
Burlington Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Burlington,Ground Water,9257,26444
Cambridge Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Cambridge,Surface Water,15745,105162
Benfield Farms,Middlesex,Metro West,Region 4AB PHEP Coalition,Carlisle,Ground Water,26,50
Garrison Place,Middlesex,Metro West,Region 4AB PHEP Coalition,Carlisle,Ground Water,16,32
Concord Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Concord,Ground Water,5643,16605
Framingham Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Framingham,Ground Water,17908,68318
Holliston Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Holliston,Ground Water,4917,14946
Deerfield Estates,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Ground Water,46,100
Estates At Highland Ridge,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Ground Water,39,100
Hopkinton Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Purchased Ground Water,3716,9507
Maillet Woods Condominiums,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Ground Water,15,75
The Preserve At Hopkinton Condo,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Ground Water,41,80
Village At Highland Park,Middlesex,Metro West,Region 4AB PHEP Coalition,Hopkinton,Ground Water,5,50
Hudson Water Supply,Middlesex,Metro West,Region 4AB PHEP Coalition,Hudson,Ground Water,5910,18138
U.S. Army Hudson Family Housing,Middlesex,Metro West,Region 4AB PHEP Coalition,Hudson,Ground Water,36,93
Lexington Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Lexington,Purchased Surface Water,13445,32271
Hanscom Family Housing (Landings),Middlesex,Metro West,Region 4AB PHEP Coalition,Lincoln,Purchased Surface Water,260,3067
Lincoln Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Lincoln,Ground Water,1874,5640
Littleton Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Littleton,Ground Water,3287,9321
Marlborough DPW Water Div. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Marlborough,Surface Water,10248,38499
"Maynard DPW, Water Division",Middlesex,Metro West,Region 4AB PHEP Coalition,Maynard,Ground Water,4099,10754
Natick Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Natick,Ground Water,11125,36050
Newton Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Newton,Purchased Surface Water,24964,89045
Fields At Sherborn Condo Trust,Middlesex,Metro West,Region 4AB PHEP Coalition,Sherborn,Ground Water,32,110
Leland Farms,Middlesex,Metro West,Region 4AB PHEP Coalition,Sherborn,Ground Water,17,25
Woodhaven Elder Housing Committee,Middlesex,Metro West,Region 4AB PHEP Coalition,Sherborn,Ground Water,3,30
Somerville Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Somerville,Purchased Surface Water,15107,81360
Arbor Glen Condominiums,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,66,132
Assabet Water Company,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,185,482
Juniper Hill Water Company,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,74,220
Pilot Grove Apartments,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,61,175
Pilot Grove Apartments II,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,5,134
Plantation Apartments,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,50,54
Regency At Stow Condominiums,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,66,132
The Meeting House At Stow Condo,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,1,92
Villages At Stow,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,96,300
Whitney Homestead Rest Home,Middlesex,Metro West,Region 4AB PHEP Coalition,Stow,Ground Water,1,25
Sudbury Water District,Middlesex,Metro West,Region 4AB PHEP Coalition,Sudbury,Ground Water,6133,18563
Waltham Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Waltham,Purchased Surface Water,13951,60630
Watertown Water Dept. (MWRA),Middlesex,Metro West,Region 4AB PHEP Coalition,Watertown,Purchased Surface Water,9273,36250
Wayland Water Department,Middlesex,Metro West,Region 4AB PHEP Coalition,Wayland,Ground Water,5380,14567
Campion Residence And Renewal Ctr.,Middlesex,Metro West,Region 4AB PHEP Coalition,Weston,Ground Water,2,350
Weston Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Weston,Ground Water,3603,11283
Winchester Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Winchester,Ground Water,7142,22800
Woburn Water Dept.,Middlesex,Metro West,Region 4AB PHEP Coalition,Woburn,Ground Water,11676,38120
Dunstable Water Department,Middlesex,Northeast,Central MA Public Health Coalition,Dunstable,Ground Water,101,598
North Reading Water Dept.,Middlesex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,North Reading,Ground Water,4920,15500
Reading Water Department (MWRA),Middlesex,Northeast,Greater Lawrence Public Health and Bioterrorism Coalition,Reading,Ground Water,8140,27241
Malden Water Division (MWRA),Middlesex,Northeast,Mystic Valley Coalition,Malden,Purchased Surface Water,11815,59450
Medford Water Dept. (MWRA),Middlesex,Northeast,Mystic Valley Coalition,Medford,Purchased Surface Water,15000,57945
Melrose Water Division (MWRA),Middlesex,Northeast,Mystic Valley Coalition,Melrose,Purchased Surface Water,8573,28016
Stoneham Water Dept. (MWRA Supply),Middlesex,Northeast,Mystic Valley Coalition,Stoneham,Purchased Surface Water,6320,21437
Wakefield Water Dept.,Middlesex,Northeast,Mystic Valley Coalition,Wakefield,Ground Water,8153,24932
Everett Water Dept. (MWRA),Middlesex,Northeast,Region 4AB PHEP Coalition,Everett,Purchased Surface Water,8235,46087
Billerica Water Works,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Billerica,Ground Water,14000,43367
Chelmsford Water District,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Chelmsford,Ground Water,8269,28079
East Chelmsford Water District,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Chelmsford,Ground Water,630,2350
North Chelmsford Water Dist.,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Chelmsford,Ground Water,2881,7300
Dracut Water Supply District,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Dracut,Ground Water,7615,26129
Kenwood Water District,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Dracut,Purchased Surface Water,2087,9430
Lowell Regional Water Utility,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Lowell,Ground Water,24353,106519
Tewksbury Hospital,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tewksbury,Ground Water,38,2500
Tewksbury Water Department,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tewksbury,Ground Water,10426,31044
400 Dunstable Road (Pine Knoll),Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,1,30
Benchmark Condominiums,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,6,60
Bridgecrest Condominium,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,5,60
Colony Heights Condominium,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,40,120
Curtis Hill Condominium,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,2,96
River Crossing Condominium,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,1,150
The Greens,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,15,25
Tyngsboro Campground,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Ground Water,50,60
Tyngsborough Water District,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Tyngsborough,Purchased Ground Water,1133,3784
Haystack Estates,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Westford,Ground Water,5,60
Vine Brook Estates,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Westford,Ground Water,79,233
Westford Water Department,Middlesex,Northeast,Upper Merrimack Valley Public Health Coalition,Westford,Ground Water,5574,18000
Siasconset Water Department,Nantucket,Southeast,Cape/Islands Public Health Coalition,Nantucket,Ground Water,836,150
Wannacomet Water Company,Nantucket,Southeast,Cape/Islands Public Health Coalition,Nantucket,Ground Water,6507,12423
Bellingham DPW Water Sewer Div.,Norfolk,Central,Central MA Public Health Coalition,Bellingham,Ground Water,5985,15575
Franklin Water Department,Norfolk,Central,Central MA Public Health Coalition,Franklin,Ground Water,9554,34693
Medway Water Department,Norfolk,Central,Central MA Public Health Coalition,Medway,Ground Water,3684,9654
Foxboro Water Department,Norfolk,Metro West,Bristol County Public Health Coalition,Foxborough,Purchased Ground Water,6099,17371
Plainville Water Department,Norfolk,Metro West,Bristol County Public Health Coalition,Plainville,Purchased Ground Water,2514,9230
Randolph Water Department,Norfolk,Metro West,Plymouth County Public Health Coalition,Randolph,Purchased Surface Water,37412,34362
Randolph/Holbrook Water Board,Norfolk,Metro West,Plymouth County Public Health Coalition,Randolph,Surface Water,2,41935
Braintree Water And Sewer Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Braintree,Surface Water,11770,37544
Tri Town Water Board,Norfolk,Metro West,Region 4AB PHEP Coalition,Braintree,Surface Water,2,25
Brookline Water And Sewer Division,Norfolk,Metro West,Region 4AB PHEP Coalition,Brookline,Purchased Surface Water,10771,59120
Canton Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Canton,Purchased Surface Water,7339,21872
Cohasset Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Cohasset,Surface Water,2664,7622
Dedham Westwood Water Dist.,Norfolk,Metro West,Region 4AB PHEP Coalition,Dedham,Ground Water,13491,41149
Colonial Water Company,Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Ground Water,637,1890
Dover Waterworks Inc.,Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Ground Water,15,36
Glen Ridge Residents Trust,Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Purchased Ground Water,44,130
Meadowbrook Water Trust,Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Purchased Ground Water,27,57
Old Farm Road Water Trust,Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Ground Water,15,40
Springdale Farms (Colonial),Norfolk,Metro West,Region 4AB PHEP Coalition,Dover,Ground Water,41,130
Medfield Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Medfield,Ground Water,4051,12595
Millis Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Millis,Ground Water,2486,8729
Sunny Spring/Ann And Hope  (Blk),Norfolk,Metro West,Region 4AB PHEP Coalition,Millis,Ground Water,1,25
Milton Water Dept. (MWRA),Norfolk,Metro West,Region 4AB PHEP Coalition,Milton,Purchased Surface Water,8750,27003
Needham Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Needham,Ground Water,10276,32795
MCI Norfolk/Cedar Junction/Walpole,Norfolk,Metro West,Region 4AB PHEP Coalition,Norfolk,Ground Water,12,3800
Norfolk Water Division,Norfolk,Metro West,Region 4AB PHEP Coalition,Norfolk,Purchased Ground Water,2605,7602
Norwood Water Dept. (MWRA),Norfolk,Metro West,Region 4AB PHEP Coalition,Norwood,Ground Water,8816,28284
Quincy Water Dept. (MWRA),Norfolk,Metro West,Region 4AB PHEP Coalition,Quincy,Purchased Surface Water,23750,96329
Sharon Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Sharon,Purchased Ground Water,5827,16528
Walpole Water Dept.,Norfolk,Metro West,Region 4AB PHEP Coalition,Walpole,Ground Water,8273,23997
Wellesley College,Norfolk,Metro West,Region 4AB PHEP Coalition,Wellesley,Ground Water,62,3000
Wellesley Water Division,Norfolk,Metro West,Region 4AB PHEP Coalition,Wellesley,Purchased Surface Water,8368,29100
Southfield Redevelopement Authority,Norfolk,Metro West,Region 4AB PHEP Coalition,Weymouth,Surface Water,200,1800
Weymouth Water Department,Norfolk,Metro West,Region 4AB PHEP Coalition,Weymouth,Ground Water,16726,55544
Inactive,Norfolk,Metro West,Region 4AB PHEP Coalition,Wrentham,Ground Water,15,25
Mount St Marys Abbey,Norfolk,Metro West,Region 4AB PHEP Coalition,Wrentham,Ground Water,7,60
Wrentham Developmental Center,Norfolk,Metro West,Region 4AB PHEP Coalition,Wrentham,Ground Water,59,1273
Wrentham Water Division,Norfolk,Metro West,Region 4AB PHEP Coalition,Wrentham,Ground Water,3692,12014
Bishops Landing Condominiums,Norfolk,Southeast,Bristol County Public Health Coalition,Stoughton,Ground Water,8,64
Copperwood I Condominiums,Norfolk,Southeast,Bristol County Public Health Coalition,Stoughton,Ground Water,64,64
Copperwood II Condominiums,Norfolk,Southeast,Bristol County Public Health Coalition,Stoughton,Ground Water,30,75
Millbrook Condominiums,Norfolk,Southeast,Bristol County Public Health Coalition,Stoughton,Ground Water,7,109
Stoughton Water Department,Norfolk,Southeast,Bristol County Public Health Coalition,Stoughton,Purchased Ground Water,8116,28915
Town Of Avon,Norfolk,Southeast,Plymouth County Public Health Coalition,Avon,Ground Water,1658,4292
Holbrook Public Works Dept.,Norfolk,Southeast,Plymouth County Public Health Coalition,Holbrook,Purchased Surface Water,3885,10958
Linden Ponds Woodlands Crossing,Plymouth,Metro West,Region 4AB PHEP Coalition,Hingham,Ground Water,2,1300
Weir River Water System,Plymouth,Metro West,Region 4AB PHEP Coalition,Hingham,Purchased Surface Water,12727,30451
Norwell Water Department,Plymouth,Metro West,Region 4AB PHEP Coalition,Norwell,Ground Water,3762,11493
Scituate Water Division,Plymouth,Metro West,Region 4AB PHEP Coalition,Scituate,Purchased Ground Water,8463,18760
Blueberry Estates,Plymouth,Southeast,Bristol County Public Health Coalition,Lakeville,Ground Water,14,80
Clark Shores Water Corporation,Plymouth,Southeast,Bristol County Public Health Coalition,Lakeville,Ground Water,50,0
Lake Point Village,Plymouth,Southeast,Bristol County Public Health Coalition,Lakeville,Ground Water,1,66
Meadow View Nursing Home,Plymouth,Southeast,Bristol County Public Health Coalition,Lakeville,Ground Water,1,29
Twin Coach / Edgeway Mobile Homes,Plymouth,Southeast,Bristol County Public Health Coalition,Lakeville,Ground Water,115,112
Abington/Rockland Joint Water Works,Plymouth,Southeast,Plymouth County Public Health Coalition,Abington,Ground Water,11513,33404
Bridgewater Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Bridgewater,Purchased Ground Water,7413,26563
MCI Bridgewater,Plymouth,Southeast,Plymouth County Public Health Coalition,Bridgewater,Purchased Surface Water,41,2802
Brockton Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Brockton,Purchased Surface Water,23183,95594
Carver Municipal Buildings,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,2,100
Cranberry Village Inc.,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Purchased Ground Water,279,414
Meadow Woods Mobile Home Park,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,66,120
North Carver Water District,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,47,100
Pine Ridge Condominiums At Sampsons Pond,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,9,87
Pinetree Village,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,186,348
South Meadow Village,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,524,500
Town Of Carver,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,1,414
Townhouses At Chance Court,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,10,40
Townhouses At Copper Lantern,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,44,176
Waterview Park LLC,Plymouth,Southeast,Plymouth County Public Health Coalition,Carver,Ground Water,64,101
Duxbury Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Duxbury,Ground Water,5682,15636
East Bridgewater Water Dept.,Plymouth,Southeast,Plymouth County Public Health Coalition,East Bridgewater,Ground Water,4421,14526
Halifax Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Halifax,Ground Water,2849,7543
Hanson Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Hanson,Ground Water,3421,8444
Kingston Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Kingston,Ground Water,4643,14131
Providence House,Plymouth,Southeast,Plymouth County Public Health Coalition,Kingston,Ground Water,1,35
Marion Water Division,Plymouth,Southeast,Plymouth County Public Health Coalition,Marion,Ground Water,2881,5521
Marshfield Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Marshfield,Ground Water,11000,27750
Mattapoisett River Valley W.D.,Plymouth,Southeast,Plymouth County Public Health Coalition,Mattapoisett,Purchased Ground Water,1,29600
Mattapoisett Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Mattapoisett,Ground Water,3052,7374
Alpha Village,Plymouth,Southeast,Plymouth County Public Health Coalition,Middleborough,Ground Water,1,49
Fairhavens Inc.,Plymouth,Southeast,Plymouth County Public Health Coalition,Middleborough,Ground Water,1,28
Middleborough Water Supply,Plymouth,Southeast,Plymouth County Public Health Coalition,Middleborough,Ground Water,6244,16839
Nemasket Health Care Center,Plymouth,Southeast,Plymouth County Public Health Coalition,Middleborough,Ground Water,1,90
Pembroke Water Division DPW,Plymouth,Southeast,Plymouth County Public Health Coalition,Pembroke,Purchased Ground Water,6303,19293
Agawam Springs Water Company,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,535,1535
Herring Cove Condominiums Trust,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,14,25
Long Pond Realty Trust,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,8,140
Lookout Point Assn.,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,22,33
MCI Plymouth,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,3,210
"Pinehills Water Company, Inc.",Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,2468,7048
Plymouth Water Company,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,863,2597
Plymouth Water Department,Plymouth,Southeast,Plymouth County Public Health Coalition,Plymouth,Ground Water,14640,43126
Cranberry Knoll,Plymouth,Southeast,Plymouth County Public Health Coalition,Plympton,Ground Water,16,40
Onset Fire District,Plymouth,Southeast,Plymouth County Public Health Coalition,Wareham,Ground Water,2901,4458
Wareham Fire District,Plymouth,Southeast,Plymouth County Public Health Coalition,Wareham,Ground Water,8457,21145
West Bridgewater Water Dept.,Plymouth,Southeast,Plymouth County Public Health Coalition,West Bridgewater,Ground Water,2838,7538
Eliot Woods Condos,Plymouth,Southeast,Plymouth County Public Health Coalition,Whitman,Ground Water,68,140
Whitman Water System,Plymouth,Southeast,Plymouth County Public Health Coalition,Whitman,Purchased Surface Water,4515,15216
Hanover Water Dept.,Plymouth,Southeast,Region 4AB PHEP Coalition,Hanover,Ground Water,5128,14547
Boston Water And Sewer Commission (MWRA),Suffolk,Boston,Boston Healthcare Preparedness Coalition,Boston,Purchased Surface Water,88098,617594
MWRA,Suffolk,Boston,Boston Healthcare Preparedness Coalition,Boston,Surface Water,1,2550000
Chelsea Water Dept. (MWRA),Suffolk,Boston,Region 4AB PHEP Coalition,Chelsea,Purchased Surface Water,5100,39690
Revere Water Division (MWRA),Suffolk,Boston,Region 4AB PHEP Coalition,Revere,Purchased Surface Water,11938,51755
"Winthrop Water Division, (MWRA)",Suffolk,Boston,Region 4AB PHEP Coalition,Winthrop,Purchased Surface Water,4516,17497
Ash/Win Joint Water Authority,Worcester,Central,Central MA Public Health Coalition,Ashburnham,Surface Water,2,11394
Ashburnham Water Department,Worcester,Central,Central MA Public Health Coalition,Ashburnham,Purchased Surface Water,1351,3680
Auburn Water District,Worcester,Central,Central MA Public Health Coalition,Auburn,Ground Water,4405,11763
Elm Hill Water District,Worcester,Central,Central MA Public Health Coalition,Auburn,Purchased Surface Water,813,2260
Windbrook Acres Coop Corp,Worcester,Central,Central MA Public Health Coalition,Auburn,Ground Water,102,220
Woodland Water District,Worcester,Central,Central MA Public Health Coalition,Auburn,Purchased Surface Water,186,465
Barre MHP/Waterwheel Village,Worcester,Central,Central MA Public Health Coalition,Barre,Ground Water,72,106
Barre Water Department,Worcester,Central,Central MA Public Health Coalition,Barre,Ground Water,1132,3325
Highland Ridge Condominiums,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,66,0
Meadowbrook Village Condominiums,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,61,150
Northbrook Village I / Berlin Ret.,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,13,48
Northbrook Village II,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,1,80
Riverbridge,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,5,1330
Sawyer Hill Ecovillage,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,68,272
Whitney Estates Condominiums,Worcester,Central,Central MA Public Health Coalition,Berlin,Ground Water,5,40
Blackstone Water Department,Worcester,Central,Central MA Public Health Coalition,Blackstone,Ground Water,2502,8046
Bolton Country Manor,Worcester,Central,Central MA Public Health Coalition,Bolton,Ground Water,1,60
Century Mill Estates,Worcester,Central,Central MA Public Health Coalition,Bolton,Ground Water,78,135
Regency At Bolton Condominiums,Worcester,Central,Central MA Public Health Coalition,Bolton,Ground Water,61,148
Sunset Ridge Condominiums,Worcester,Central,Central MA Public Health Coalition,Bolton,Ground Water,28,42
Boylston Water District,Worcester,Central,Central MA Public Health Coalition,Boylston,Ground Water,1243,3182
Morningdale Water District,Worcester,Central,Central MA Public Health Coalition,Boylston,Ground Water,489,1400
Brookfield Meadows MHP,Worcester,Central,Central MA Public Health Coalition,Brookfield,Ground Water,61,100
Brookfield Water Department,Worcester,Central,Central MA Public Health Coalition,Brookfield,Ground Water,485,1138
Nanatomqua Mobile Home Park,Worcester,Central,Central MA Public Health Coalition,Brookfield,Ground Water,85,92
"Wagon Wheel Community, Inc.",Worcester,Central,Central MA Public Health Coalition,Brookfield,Ground Water,146,215
40 & 42 Hammond Hill Road,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,2,25
Cady Brook Crossing Condominiums,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,32,75
Charlton Housing Authority,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,36,50
Charlton Manor Rest Home,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,1,26
Countryside Village Apartments,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,20,38
Juniper Hill Apartments,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,9,95
Overlook Life Care Community,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,20,835
Ramshorn Condominiums,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,3,60
Stafford Heights Apartments,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,3,38
Upham Farms Condominiums,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,24,90
Woodland Walk Apartments,Worcester,Central,Central MA Public Health Coalition,Charlton,Ground Water,5,76
Clinton Water Dept.,Worcester,Central,Central MA Public Health Coalition,Clinton,Surface Water,4223,13606
Douglas Water Department,Worcester,Central,Central MA Public Health Coalition,Douglas,Ground Water,1118,3785
